opo,total_hospitals,zero_conv_hospitals,total_referrals,zero_conv_referrals,zero_conv_pct,zero_conv_ref_pct
ALOB,83,50,22487,3910,60.24096385542169,17.387824076132876
AROR,54,30,8802,1528,55.55555555555556,17.35969097932288
AZOB,72,32,23824,2346,44.44444444444444,9.847212894560107
CADN,136,60,35706,6093,44.11764705882353,17.064358931272054
CAGS,28,10,11772,1140,35.714285714285715,9.683995922528032
CAOP,169,67,59335,9911,39.64497041420118,16.703463385859948
CASD,26,5,9982,654,19.23076923076923,6.551793227810058
CORS,78,41,12838,2384,52.56410256410256,18.569870696370153
FLFH,49,13,17373,1872,26.53061224489796,10.77534104645139
FLMP,70,29,24348,4041,41.42857142857143,16.596845736816167
FLUF,45,13,17330,1072,28.88888888888889,6.185804962492787
FLWC,66,15,27425,1910,22.727272727272727,6.964448495897903
GALL,131,68,39257,4291,51.908396946564885,10.930534681712816
HIOP,16,2,5268,92,12.5,1.7463933181473046
IAOP,80,65,10447,3794,81.25,36.3166459270604
ILIP,143,64,41068,4679,44.75524475524475,11.39329891886627
INOP,95,53,26347,4054,55.78947368421053,15.386951076023836
KYDA,124,81,28074,6589,65.3225806451613,23.47011469687255
LAOP,93,51,19341,2292,54.83870967741935,11.850473088258104
MAOB,175,95,55040,11095,54.285714285714285,20.158066860465116
MDPC,66,22,26205,3261,33.333333333333336,12.444190040068689
MIOP,117,54,35699,3506,46.15384615384615,9.821003389450684
MNOP,120,91,19729,5208,75.83333333333333,26.39768868163617
MOMA,88,55,20667,3375,62.5,16.330381768036
MSOP,60,46,10175,2915,76.66666666666667,28.64864864864865
MWOB,103,67,18338,3368,65.04854368932038,18.36623404951467
NCCM,31,15,10922,1445,48.38709677419355,13.230177623145943
NCNC,88,55,27871,5795,62.5,20.792221305299414
NEOR,42,26,6007,1455,61.904761904761905,24.22174130181455
NJTO,55,12,17381,1463,21.818181818181817,8.41723721304873
NMOP,38,27,6407,2043,71.05263157894737,31.886998595286407
NVLV,16,3,7379,101,18.75,1.3687491530017617
NYAP,36,19,10346,1554,52.77777777777778,15.020297699594046
NYFL,35,21,10523,2163,60.0,20.554974817067375
NYRT,97,20,50924,5536,20.61855670103093,10.87110203440421
NYWN,20,12,6194,1536,60.0,24.79819179851469
OHLB,57,29,15916,2689,50.87719298245614,16.894948479517467
OHLC,38,26,6835,1482,68.42105263157895,21.682516459400148
OHLP,52,28,12799,1570,53.84615384615385,12.266583326822408
OKOP,84,58,14356,3170,69.04761904761905,22.08135971022569
ORUO,57,28,15528,2587,49.12280701754386,16.6602266872746
PADV,126,49,39235,5112,38.888888888888886,13.0291831273098
PATF,121,75,23565,4573,61.98347107438016,19.40589857840017
PRLL,53,25,18266,6201,47.16981132075472,33.94831928172561
SCOP,64,31,18504,2809,48.4375,15.180501513186337
TNDS,105,60,30590,4637,57.142857142857146,15.158548545276235
TNMS,35,21,10045,1615,60.0,16.07765057242409
TXGC,117,57,36204,5814,48.717948717948715,16.058999005634735
TXSA,79,40,19757,3920,50.63291139240506,19.84106898820671
TXSB,67,17,25393,2008,25.37313432835821,7.90769109597133
UTOP,46,28,7138,1341,60.869565217391305,18.786775007004763
VATB,67,38,24004,3786,56.71641791044776,15.772371271454757
WALC,118,69,28740,4449,58.47457627118644,15.480167014613778
WIDN,35,17,7336,1563,48.57142857142857,21.30588876772083
WIUW,74,51,10363,2562,68.91891891891892,24.72257068416482
